family,model,preprocess,lead_mode,sampling_rate,max_records,status,threshold_source,train_n,train_positives,train_threshold,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_sensitivity,train_specificity,train_tp,train_fp,train_tn,train_fn,train_auroc,train_average_precision,val_n,val_positives,val_threshold,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_sensitivity,val_specificity,val_tp,val_fp,val_tn,val_fn,val_auroc,val_average_precision,test_n,test_positives,test_threshold,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_sensitivity,test_specificity,test_tp,test_fp,test_tn,test_fn,test_auroc,test_average_precision
classical,logistic_regression,raw_zscore,wearable3_vdiff,100,20,ok,validation_youden,16.0,8.0,0.1851781749756004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,2.0,1.0,0.1851781749756004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.1851781749756004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
classical,logistic_regression,raw_zscore,all12,100,20,ok,validation_youden,16.0,8.0,0.43026687938222424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,2.0,1.0,0.43026687938222424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.43026687938222424,0.5,0.5,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
